Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1HRThJebs60Dk6jAhpkwsm,"6Wr3hh341P84m3EI8qdn9O","Savior","Appeal To Reason (International Version)","Rise Against",2008-10-03,242280,0,spotify:user:,2011-12-12T21:05:33Z,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,post-grunge,punk",0.339,0.932,5,-3.424,0,0.0613,0.00161,0.000134,0.425,0.466,112.549,4
3B1LOh1dvMN39Vt4rGW6AL,"6Wr3hh341P84m3EI8qdn9O","Help Is On The Way","Endgame","Rise Against",2011-01-01,237480,0,spotify:user:,2011-12-12T21:06:11Z,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,post-grunge,punk",0.345,0.951,5,-3.521,0,0.07,0.000149,0.00106,0.0357,0.623,108.017,4
3maL8nLgxrr7cOoTYqGKrS,"6Wr3hh341P84m3EI8qdn9O","Re-Education (Through Labor)","Appeal To Reason (International Version)","Rise Against",2008-10-03,222453,0,spotify:user:,2011-12-12T21:06:14Z,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,post-grunge,punk",0.243,0.947,11,-3.388,1,0.102,0.000421,0.0000377,0.132,0.339,147.592,4
18GC3F8YPGB8CePXcTUizQ,"4UXqAaa6dQYAk18Lv7PEgX","Thnks fr th Mmrs","Infinity On High (Deluxe Edition)","Fall Out Boy",2007-01-01,203506,0,spotify:user:,2011-12-12T21:06:48Z,"emo,modern rock,pop,rock",0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.106,0.588,154.837,4
5D1eaML0qst8jrxB5GRugn,"4UXqAaa6dQYAk18Lv7PEgX","I Don't Care","Believers Never Die - Greatest Hits","Fall Out Boy",2009-01-01,218880,0,spotify:user:,2011-12-12T21:06:51Z,"emo,modern rock,pop,rock",0.532,0.923,6,-3.837,0,0.058,0.0018,0.0000129,0.339,0.516,133.976,4
4HcDu9IGRCvSTJE4yW5Ugv,"6XyY86QOPPrYVGvF9ch6wz","Breaking the Habit","Meteora (Bonus Edition)","Linkin Park",2003-03-24,196906,57,spotify:user:,2011-12-12T21:07:03Z,"alternative metal,nu metal,post-grunge,rap metal,rock",0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,4
0tDbl1SVkdSI4Efi0sA3A8,"1vCWHaC5f2uS3yhpwWbIA6","Levels - Original Version","Levels","Avicii",2011-10-28,338861,0,spotify:user:,2011-12-12T21:08:01Z,"dance pop,edm,pop,pop dance",0.624,0.837,1,-6.533,0,0.0356,0.0368,0.851,0.311,0.376,126.021,4
6ZCPCkUydtPeyHkxSKcb8y,"1vCWHaC5f2uS3yhpwWbIA6","Sweet Dreams - Avicii Swede Dreams Mix","Sweet Dreams","Avicii",2011-05-02,353770,0,spotify:user:,2011-12-12T21:08:34Z,"dance pop,edm,pop,pop dance",0.882,0.658,3,-8.746,0,0.0878,0.0171,0.338,0.326,0.121,128.009,4
3eOZPj3ZLFBekXQOBZRKTC,"3534yWWzmxx8NbKVoNolsK","Wolfgang's 5th Symphony","Wolfgang's 5th Symphony","Wolfgang Gartner",2010-12-13,450937,0,spotify:user:,2011-12-12T21:09:07Z,"complextro,edm,electro house,house,progressive electro house",0.836,0.412,8,-5.156,1,0.062,0.0000468,0.862,0.0562,0.117,127.996,4
5pewxEBnMo72rY6pGH0HJz,"2CIMQHirSU0MQqyYHq0eOx","Sofi Needs A Ladder","4x4=12","deadmau5",2010-12-03,403088,0,spotify:user:,2011-12-12T21:10:11Z,"canadian electronic,complextro,edm,electro house,pop dance,progressive house",0.779,0.707,5,-7.755,1,0.052,0.00429,0.00273,0.746,0.341,128.01,3
3jnZjSqydlIYAZhY8eHLEr,"2CIMQHirSU0MQqyYHq0eOx,3534yWWzmxx8NbKVoNolsK","Animal Rights","4x4=12","deadmau5,Wolfgang Gartner",2010-12-03,375048,0,spotify:user:,2011-12-12T21:10:14Z,"canadian electronic,complextro,edm,electro house,pop dance,progressive house,house,progressive electro house",0.976,0.406,11,-6.962,0,0.288,0.000179,0.17,0.676,0.387,128.015,4
0H7epBAr4BMdBl5NGnUuRr,"2CIMQHirSU0MQqyYHq0eOx","Moar Ghosts 'n' Stuff","For Lack Of A Better Name","deadmau5",2009-01-01,299066,39,spotify:user:,2011-12-12T21:10:24Z,"canadian electronic,complextro,edm,electro house,pop dance,progressive house",0.899,0.72,5,-5.244,0,0.144,0.000108,0.625,0.155,0.342,128.005,4
0eEYax5zHz46XYmD0RJdx6,"2CIMQHirSU0MQqyYHq0eOx","Strobe - Club Edit","Strobe","deadmau5",2010-01-01,381380,36,spotify:user:,2011-12-12T21:11:12Z,"canadian electronic,complextro,edm,electro house,pop dance,progressive house",0.662,0.571,8,-7.491,0,0.0308,0.000494,0.875,0.321,0.166,127.998,4
3xcv3R9LGJkprp0EOQvdNt,"4BTcOR2hEQZQQL5AMo5u10","Everyday - Netsky Remix","Everyday","Rusko",2011-04-04,251669,0,spotify:user:,2011-12-12T21:11:37Z,"brostep,classic dubstep,filthstep",0.327,0.933,2,-4.981,1,0.0739,0.000346,0.891,0.245,0.102,173.92,4
1POpzXwi5LRsjwWO9sgRAj,"2gsggkzM5R49q6jpPvazou,5TgQ66WuWkoQ2xYxaSTnVP","Nobody's Perfect - Netsky Full Vocal Remix","Nobody's Perfect","Jessie J,Netsky",2011-01-01,295840,44,spotify:user:,2011-12-12T21:13:00Z,"dance pop,pop,belgian edm,dancefloor dnb,drum and bass",0.597,0.748,7,-8.172,0,0.0373,0.000991,0.0000667,0.0932,0.174,86.488,4
